State,County Name,x,y,Color,Pop,PopDensity,logPopDens,Largest City,County Full,State Full
ME,Aroostook,139,71.5,G,67809,10.8,1.033423755,Presque Isle,Aroostook County,Maine
ME,Piscataquis,139,70.5,G,16836,4.4,0.6434526765,#N/A,Piscataquis County,Maine
ME,Waldo,139,69.5,G,39539,53.1,1.725094521,Belfast,Waldo County,Maine
ME,Lincoln,139,68.5,G,34201,75.6,1.878521796,#N/A,Lincoln County,Maine
ME,Penobscot,140,71,G,151774,45.3,1.656098202,Bangor,Penobscot County,Maine
ME,Hancock,140,70,G,54601,34.3,1.53529412,Ellsworth,Hancock County,Maine
ME,Knox,140,69,G,39759,108.8,2.036628895,Rockland,Knox County,Maine
ME,Washington,141,70.5,G,31491,12.8,1.10720997,Calais,Washington County,Maine
ME,Somerset,138,70,G,50520,13.3,1.123851641,#N/A,Somerset County,Maine
ME,Kennebec,138,69,G,121753,140.8,2.148602655,Waterville,Kennebec County,Maine
ME,Sagadahoc,138,68,G,35452,139.1,2.14332713,Bath,Sagadahoc County,Maine
ME,Franklin,137,69.5,G,29982,18.1,1.257678575,Chisholm,Franklin County,Maine
ME,Androscoggin,137,68.5,G,107602,230.2,2.362105319,Lewiston,Androscoggin County,Maine
ME,Cumberland,137,67.5,G,292307,337.2,2.527887566,Portland,Cumberland County,Maine
ME,Oxford,136,68,G,57550,27.8,1.444044796,South Paris,Oxford County,Maine
ME,York,136,67,G,204316,199,2.298853076,Sanford,York County,Maine
NH,Coos,134,70,B,31741,18.4,1.264817823,Berlin,Coos County,New Hampshire
NH,Carroll,134,69,B,48138,51.4,1.710963119,North Conway,Carroll County,New Hampshire
NH,Strafford,134,68,B,129124,333.7,2.523356207,Dover,Strafford County,New Hampshire
NH,Rockingham,134,67,B,306359,425,2.62838893,Portsmouth,Rockingham County,New Hampshire
NH,Grafton,133,69.5,B,89777,52.2,1.717670503,Lebanon,Grafton County,New Hampshire
NH,Belknap,133,68.5,B,60887,150.1,2.176380692,Laconia,Belknap County,New Hampshire
NH,Merrimack,133,67.5,B,149917,156.8,2.195346058,Concord,Merrimack County,New Hampshire
NH,Hillsborough,133,66.5,B,413035,457.4,2.66029616,Manchester,Hillsborough County,New Hampshire
NH,Sullivan,132,68,B,43104,81.4,1.910624405,Claremont,Sullivan County,New Hampshire
NH,Cheshire,132,67,B,76042,109.1,2.037824751,Keene,Cheshire County,New Hampshire
MA,Barnstable,135,62.5,Y,213496,548.3,2.739018246,Barnstable,Barnstable County,Massachusetts
MA,Nantucket,135,61.5,Y,11168,226.2,2.354492601,Madaket,Nantucket County,Massachusetts
MA,Essex,134,65,Y,783676,1508.8,3.178631675,Lynn,Essex County,Massachusetts
MA,Suffolk,134,64,Y,796605,12415.6,4.093967712,Boston,Suffolk County,Massachusetts
MA,Plymouth,134,63,Y,515303,750.9,2.875582104,Brockton,Plymouth County,Massachusetts
MA,Dukes,134,62,Y,17312,160.2,2.204662512,Vineyard Haven,Dukes County,Massachusetts
MA,Middlesex,133,64.5,Y,1600842,1837.9,3.264321878,Cambridge,Middlesex County,Massachusetts
MA,Norfolk,133,63.5,Y,700437,1693.6,3.228810845,Quincy,Norfolk County,Massachusetts
MA,Bristol,133,62.5,Y,561037,991.3,2.996205106,New Bedford,Bristol County,Massachusetts
MA,Worcester,132,64,Y,824772,528.6,2.723127159,Worcester,Worcester County,Massachusetts
MA,Hampshire,131,63.5,Y,161032,299.8,2.476831629,Amherst,Hampshire County,Massachusetts
MA,Hampden,131,62.5,Y,467871,751,2.875639937,Springfield,Hampden County,Massachusetts
MA,Franklin,130,64,Y,70577,102.1,2.009025742,Greenfield,Franklin County,Massachusetts
MA,Berkshire,130,63,Y,126425,141.6,2.151063253,Pittsfield,Berkshire County,Massachusetts
VT,Essex,129,66.5,R,6200,9.5,0.9777236053,Island Pond,Essex County,Vermont
VT,Orleans,128,67,R,26901,39.3,1.59439255,Newport,Orleans County,Vermont
VT,Caledonia,128,66,R,30234,48.1,1.682145076,Lyndonville,Caledonia County,Vermont
VT,Orange,128,65,R,28908,42.1,1.624282096,Wells River,Orange County,Vermont
VT,Windsor,128,64,R,55275,58.5,1.767155866,White River Junction,Windsor County,Vermont
VT,Windham,128,63,R,42823,56.7,1.753583059,Bellows Falls,Windham County,Vermont
VT,Lamoille,127,66.5,R,25318,53.3,1.726727209,Morrisville,Lamoille County,Vermont
VT,Washington,127,65.5,R,58350,86.6,1.937517892,Barre,Washington County,Vermont
VT,Addison,127,64.5,R,36882,48,1.681241237,Vergennes,Addison County,Vermont
VT,Rutland,127,63.5,R,58892,66.3,1.821513528,Rutland,Rutland County,Vermont
VT,Bennington,127,62.5,R,35746,55,1.740362689,Manchester Center,Bennington County,Vermont
VT,Franklin,126,67,R,49116,75.3,1.876794976,St. Albans,Franklin County,Vermont
VT,Grand Isle,126,66,R,7022,85.2,1.930439595,#N/A,Grand Isle County,Vermont
VT,Chittenden,126,65,R,162646,291.7,2.464936429,Burlington,Chittenden County,Vermont
RI,Bristol,132,60,B,48764,2064,3.314709693,#N/A,Bristol County,Rhode Island
RI,Newport,132,59,B,82801,809.6,2.908270499,Newport,Newport County,Rhode Island
RI,Providence,131,60.5,B,635737,1530.3,3.184776578,Providence,Providence County,Rhode Island
RI,Kent,131,59.5,B,163869,985.9,2.993832867,Warwick,Kent County,Rhode Island
RI,Washington,131,58.5,B,126060,385.7,2.586249639,Wakefield-Peacedale,Washington County,Rhode Island
CT,Windham,129,60.5,G,116566,230.9,2.363423933,Willimantic,Windham County,Connecticut
CT,New London,129,59.5,G,267390,412.2,2.615107987,Norwich,New London County,Connecticut
CT,Tolland,128,60,G,151063,372.2,2.570776369,Storrs,Tolland County,Connecticut
CT,Middlesex,128,59,G,163053,448.6,2.651859269,Middletown,Middlesex County,Connecticut
CT,Hartford,127,60.5,G,893561,1216.2,3.085004999,Hartford,Hartford County,Connecticut
CT,New Haven,127,59.5,G,857513,1426.7,3.154332661,New Haven,New Haven County,Connecticut
CT,Litchfield,126,60,G,182002,206.3,2.314499228,Torrington,Litchfield County,Connecticut
CT,Fairfield,126,59,G,943926,1467.2,3.166489318,Bridgeport,Fairfield County,Connecticut
NY,Suffolk,127,55.5,B,1483832,1637.4,3.214154786,Brentwood,Suffolk County,New York
NY,Nassau,126,56,B,1356509,4704.8,3.672541166,Levittown,Nassau County,New York
NY,Queens,125,56.5,B,2287388,20553.6,4.3128879,Queens,Queens County,New York
NY,Kings,125,55.5,B,2589974,35369.2,4.548625237,Brooklyn,Kings County,New York
NY,Warren,124,64,B,64276,75.8,1.879669206,Glens Falls,Warren County,New York
NY,Washington,124,63,B,61616,76.1,1.881384657,Hudson Falls,Washington County,New York
NY,Rensselaer,124,62,B,159185,244.4,2.388101202,Troy,Rensselaer County,New York
NY,Columbia,124,61,B,60371,99.4,1.997386384,Hudson,Columbia County,New York
NY,Dutchess,124,60,B,293754,373.9,2.572755465,Poughkeepsie,Dutchess County,New York
NY,Putnam,124,59,B,98787,432.9,2.636387586,Mahopac,Putnam County,New York
NY,Westchester,124,58,B,968890,2204.7,3.343349502,Yonkers,Westchester County,New York
NY,Bronx,124,57,B,1435068,32903.3,4.517239457,Bronx,Bronx County,New York
NY,New York,124,56,B,1631993,69468.4,4.841787296,New York,New York County,New York
NY,Essex,123,64.5,B,37459,21.9,1.340444115,Lake Placid,Essex County,New York
NY,Saratoga,123,63.5,B,228502,271.1,2.433129518,Saratoga Springs,Saratoga County,New York
NY,Schenectady,123,62.5,B,154859,756.6,2.878866337,Schenectady,Schenectady County,New York
NY,Albany,123,61.5,B,306968,581.9,2.764848357,Albany,Albany County,New York
NY,Greene,123,60.5,B,47424,76.1,1.881384657,Palenville,Greene County,New York
NY,Ulster,123,59.5,B,178665,162.3,2.21031852,Kingston,Ulster County,New York
NY,Orange,123,58.5,B,380085,459.3,2.662096445,Middletown,Orange County,New York
NY,Rockland,123,57.5,B,324422,1795.9,3.25428215,New City,Rockland County,New York
NY,Richmond,123,55.5,B,474893,8030.3,3.90473177,Staten Island,Richmond County,New York
NY,Clinton,122,65,B,80583,79.1,1.898176483,Plattsburgh,Clinton County,New York
NY,Hamilton,122,64,B,4515,2.8,0.4471580313,Speculator,Hamilton County,New York
NY,Fulton,122,63,B,53646,112.1,2.049605613,Gloversville,Fulton County,New York
NY,Montgomery,122,62,B,49302,124.6,2.095518042,Amsterdam,Montgomery County,New York
NY,Schoharie,122,61,B,31222,52.7,1.721810615,Sharon Springs,Schoharie County,New York
NY,Delaware,122,60,B,44995,33.3,1.522444234,Margaretville,Delaware County,New York
NY,Sullivan,122,59,B,75116,80.1,1.903632516,Monticello,Sullivan County,New York
NY,Franklin,121,64.5,B,50477,31.7,1.501059262,Saranac Lake,Franklin County,New York
NY,Lewis,121,63.5,B,26572,21.3,1.328379603,Copenhagen,Lewis County,New York
NY,Herkimer,121,62.5,B,62057,45.7,1.6599162,Ilion,Herkimer County,New York
NY,Otsego,121,61.5,B,59972,62.2,1.793790385,Oneonta,Otsego County,New York
NY,St. Lawrence,120,64,B,108913,41.8,1.621176282,Ogdensburg,St. Lawrence County,New York
NY,Oneida,120,63,B,229959,193.7,2.287129621,Utica,Oneida County,New York
NY,Madison,120,62,B,71205,112.2,2.049992857,Oneida,Madison County,New York
NY,Chenango,120,61,B,47909,56.5,1.752048448,Norwich,Chenango County,New York
NY,Broome,120,60,B,193188,284.2,2.453624074,Binghamton,Broome County,New York
NY,Jefferson,119,63.5,B,112842,91.6,1.961895474,Watertown,Jefferson County,New York
NY,Oswego,119,62.5,B,118339,128.3,2.108226656,Oswego,Oswego County,New York
NY,Onondaga,119,61.5,B,462872,600,2.77815125,Syracuse,Onondaga County,New York
NY,Cortland,119,60.5,B,47865,98.9,1.995196292,Cortland,Cortland County,New York
NY,Tioga,119,59.5,B,48686,98.6,1.993876915,Waverly,Tioga County,New York
NY,Cayuga,118,62,B,77425,115.7,2.063333359,Auburn,Cayuga County,New York
NY,Tompkins,118,61,B,102642,214,2.330413773,Ithaca,Tompkins County,New York
NY,Chemung,118,60,B,84895,218.1,2.338655666,Elmira,Chemung County,New York
NY,Wayne,117,62.5,B,90519,155.3,2.191171456,Newark,Wayne County,New York
NY,Seneca,117,61.5,B,34390,108.9,2.03702788,Interlaken,Seneca County,New York
NY,Schuyler,117,60.5,B,17920,55.9,1.747411808,Watkins Glen,Schuyler County,New York
